captured_at,capture_season,capture_week,source,season,conference,team,offense_overall,offense_passing,offense_rushing,offense_firstDown,offense_secondDown,offense_thirdDown,offense_cumulative,defense_overall,defense_passing,defense_rushing,defense_firstDown,defense_secondDown,defense_thirdDown,defense_cumulative
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,ACC,Miami,0.54,0.83,0.25,0.49,0.5,0.98,"{'total': 75.6, 'passing': 59.13, 'rushing': 16.2}",0.03,0.07,-0.05,0.05,0.15,0.1,"{'total': 4.1, 'passing': 64, 'rushing': -1.6}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mid-American,Miami (OH),0.34,0.72,0.07,0.39,-0.16,0.84,"{'total': 43.1, 'passing': 49.63, 'rushing': 3.9}",0.18,0.34,0.1,0.04,0.16,0.8,"{'total': 28.8, 'passing': 321.9, 'rushing': 5.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Michigan,0.18,0.29,0.14,-0.14,0.27,0.5,"{'total': 30, 'passing': 20.13, 'rushing': 13.4}",-0.11,-0.17,-0.09,-0.07,-0.2,0.13,"{'total': -17.9, 'passing': -122.6, 'rushing': -8}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Michigan State,0.06,0.16,0.03,-0.05,0.07,0.23,"{'total': 12.3, 'passing': 13.42, 'rushing': 3.1}",0.12,0.15,0.09,0.01,0.35,0.1,"{'total': 19.7, 'passing': 114.3, 'rushing': 7.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,Middle Tennessee,0.22,0.25,0.22,0.1,0.29,0.38,"{'total': 42.1, 'passing': 26.32, 'rushing': 17.9}",0.05,0.25,-0.08,-0.27,0.15,0.53,"{'total': 8.6, 'passing': 159.8, 'rushing': -7.7}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Minnesota,0.12,0.2,0.02,0.26,-0.54,0.73,"{'total': 18.4, 'passing': 18.67, 'rushing': 0.8}",0.04,0.19,0.14,-0.03,0.21,0.52,"{'total': 5.1, 'passing': 121.6, 'rushing': 8.7}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Mississippi State,0.47,0.62,0.41,0.19,0.62,0.88,"{'total': 77.9, 'passing': 49.85, 'rushing': 33.7}",-0.03,0,0,-0.09,-0.24,0.19,"{'total': -5.9, 'passing': 2.3, 'rushing': -0.1}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Missouri,0.24,0.65,-0.01,0.23,0.09,0.65,"{'total': 41.4, 'passing': 46.86, 'rushing': -1.1}",-0.13,-0.07,-0.12,-0.41,-0.01,0.42,"{'total': -22.1, 'passing': -51.3, 'rushing': -10.4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,Missouri State,0.23,0.43,0.11,0.33,0.16,0.55,"{'total': 30.2, 'passing': 25.19, 'rushing': 8}",0.24,0.39,0.14,0.08,0.14,0.44,"{'total': 40.2, 'passing': 266, 'rushing': 13.8}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,American Athletic,Navy,0.33,-0.27,0.51,0.08,0.52,0.48,"{'total': 37.4, 'passing': -7.33, 'rushing': 44.7}",0.19,0.61,-0.08,-0.21,0.62,0.76,"{'total': 21.6, 'passing': 322.3, 'rushing': -3.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,ACC,NC State,0.17,0.41,0.02,0.09,0.07,0.76,"{'total': 25, 'passing': 28.95, 'rushing': 1.7}",0.22,0.35,0.22,0.04,0.34,0.08,"{'total': 32.8, 'passing': 220.5, 'rushing': 17.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Nebraska,0.5,0.55,0.49,0.24,0.5,1.05,"{'total': 85.6, 'passing': 41.07, 'rushing': 47}",-0.03,-0.21,-0.02,-0.19,0.18,-0.27,"{'total': -3.5, 'passing': -126.1, 'rushing': -1.3}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mountain West,Nevada,0.06,0.02,0.14,-0.06,0.1,0.62,"{'total': 10, 'passing': 1.46, 'rushing': 13.5}",0.08,0.25,-0.02,0.07,0.04,0.17,"{'total': 17.1, 'passing': 231.3, 'rushing': -1.7}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mountain West,New Mexico,0.1,-0.11,0.26,-0.12,0.22,0.57,"{'total': 16.4, 'passing': -6.99, 'rushing': 23.5}",-0.23,-0.04,-0.14,-0.4,-0.14,0.04,"{'total': -27.3, 'passing': -25.4, 'rushing': -7.8}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,New Mexico State,0.1,0.17,0.1,0.05,-0.28,1.07,"{'total': 18.3, 'passing': 17.17, 'rushing': 8.5}",0.12,0.22,0.05,-0.07,0.17,0.43,"{'total': 22.6, 'passing': 220.5, 'rushing': 3.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,ACC,North Carolina,0.12,0.14,0.15,-0.04,0.29,0.53,"{'total': 19.5, 'passing': 11.52, 'rushing': 11.8}",-0.03,0.02,0.06,-0.09,0.14,0.26,"{'total': -5.2, 'passing': 19.1, 'rushing': 5.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mountain West,North Dakota State,0.17,0.36,0.08,0.06,0.21,0.27,"{'total': 38.2, 'passing': 31.3, 'rushing': 10.4}",-0.18,-0.05,-0.25,-0.16,-0.28,-0.07,"{'total': -36.3, 'passing': -39.9, 'rushing': -28}"
